花名,花語,關於花,品種,產地,上市日期,開花季節,花期,生日花,花語索引
石斛蘭,相配的兩人,,,,,,,,愛情，家庭
日本吊鐘花,優雅,,,,,,,,魅力，個性
西番蓮,神聖的愛,,,,,,,,愛情，家庭
追風草,忠實 信賴 為你獻上我的心,,,,,,,,魅力，個性，感情，行為
洋桔梗,清新,,,,,,,,美，稱讚
白色洋桔梗,說好話,,,,,,,,治癒，幸福，喜悅，新生活，友情
紫色洋桔梗,希望,,,,,,,,感情，行為
粉紅洋桔梗,優美,,,,,,,,美，稱讚
石竹,天真無邪 可愛 貞操,,,,,,,,魅力，個性
粉紅石竹,純粹的愛,,,,,,,,愛情，家庭
紅色石竹,燃燒般的愛,,,,,,,,愛情，家庭
白色石竹,才華,,,,,,,,魅力，個性
油菜花,豐富 快活,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
南天竹,帶來福氣 良好家庭,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情
黑種草,在夢中的戀愛,,,,,,,,愛情，家庭
納麗石蒜,期待下次的約會 千金小姐,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
刻球花,熱情 熱心,,,,,,,,魅力，個性
鳳梨百合,完美 完全,,,,,,,,美，稱讚
貝母,謙虛的心,,,,,,,,魅力，個性
初雪草,祝福 安穩的生活,,,,,,,,治癒，幸福，喜悅，新生活，友情
四照花,請接受我的思念 永恆,,,,,,,,感情，行為，其他
仙履蘭,深思熟慮 優雅的打扮,,,,,,,,魅力，個性
玫瑰,愛 美,,,,,,,,愛情，家庭，美，稱讚
白色玫瑰,純潔 深深的敬意,,,,,,,,愛情，家庭，魅力，個性，感情，行為
粉紅玫瑰,優雅 銘記在心,,,,,,,,愛情，家庭，魅力，個性，感情，行為
黃色玫瑰,嫉妒 友情,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情，感情，行為
橘色玫瑰,羈絆,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情
綠色玫瑰,平穩,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情
佛塔樹,勇敢的愛 愉快的孤獨 心中的盔甲,,,,,,,,愛情，家庭，其他
三色堇,思慕 想念我,,,,,,,,治癒，幸福，喜悅，新生活，友情，其他
黃色三色堇,謹慎的幸福,,,,,,,,幸福
白色三色堇,溫順,,,,,,,,魅力，個性
紫色三色堇,深思熟慮,,,,,,,,魅力，個性
萬代蘭,優雅 個性十足,,,,,,,,美，稱讚，魅力，個性
柊樹,十分謹慎 保護,,,,,,,,其他
射干,誠實 個性美,,,,,,,,魅力，個性
海桐,飛躍,,,,,,,,治癒，幸福，喜悅，新生活，友情
地中海莢迷,愛開玩笑 看著我,,,,,,,,魅力，個性，感情，行為
金絲桃,閃耀 悲傷不會持續,,,,,,,,美，稱讚，治癒，幸福，喜悅，新生活，友情
向日葵,我只看著你 憧憬,,,,,,,,愛情，家庭，感情，行為
大輪向日葵,虛假的愛,,,,,,,,愛情，家庭
小輪向日葵,高貴,,,,,,,,魅力，個性
百日草,思念不在的友人 恆久不變,,,,,,,,治癒，幸福，喜悅，新生活，友情，感情，行為
風信子,體育 勝負 競賽,,,,,,,,其他
紫色風信子,超越悲傷的愛,,,,,,,,愛情，家庭
藍色風信子,不變的愛,,,,,,,,愛情，家庭
紅色風信子,嫉妒,,,,,,,,感情，行為
白色風信子,低調的愛,,,,,,,,魅力，個性
粉紅風信子,文靜可愛,,,,,,,,魅力，個性
針墊花,處處成功大方的人,,,,,,,,美，稱讚，治癒，幸福，喜悅，新生活，友情
唐棉,滿滿的夢想(果實)隱藏的能力(花朵),,,,,,,,治癒，幸福，喜悅，新生活，友情，其他
五指茄,我不會騙你,,,,,,,,感情，行為
寒丁子,交流 知性魅力,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
金翠花,初吻 纖細美,,,,,,,,愛情，家庭，美，稱讚
法蘭絨花,高潔 誠實 永遠愛我,,,,,,,,愛情，家庭，魅力，個性
小蒼蘭,深情,,,,,,,,愛情，家庭
白色小蒼蘭,孩子氣,,,,,,,,魅力，個性
紫色小蒼蘭,憧憬,,,,,,,,感情，行為
紅色小蒼蘭,純潔,,,,,,,,魅力，個性
黃色小蒼蘭,天真無邪,,,,,,,,魅力，個性
琉璃唐錦,幸福之愛 互信的心,,,,,,,,愛情，家庭
翠珠花,態度優雅,,,,,,,,魅力，個性
大銀果,不變 小小的勇氣,,,,,,,,其他
鳳尾百合,休息,,,,,,,,治癒，幸福，喜悅，新生活，友情
帝王花,王者風範 自由自在,,,,,,,,魅力，個性，其他
胡椒木,閃耀的心 狂熱,,,,,,,,感情，行為
紅花,打扮 包容力,,,,,,,,魅力，個性，其他
蠟菊,永恆的記憶 金黃光輝,,,,,,,,其他
赫蕉,矚目 怪人,,,,,,,,其他
堆心菊,華麗 眼淚,,,,,,,,其他
紅蝦花,充滿機智 可愛的人,,,,,,,,魅力，個性
八寶景天,信任追隨 聰明,,,,,,,,魅力，個性，感情，行為
聖誕紅,祝福 聖夜 祈求幸運,,,,,,,,治癒，幸福，喜悅，新生活，友情
貼梗海棠,早熟 引領者,,,,,,,,其他
牡丹,風格 高貴 害羞,,,,,,,,魅力，個性
油點草,永遠屬於你 持續,,,,,,,,愛情，家庭，其他
罌粟花,胡思亂想 夢想家 安慰,,,,,,,,治癒，幸福，喜悅，新生活，友情，其他
波羅尼花,印想深刻 芳香,,,,,,,,其他
瑪格麗特,戀愛預言 暗戀,,,,,,,,愛情，家庭
白色瑪格麗特,信賴,,,,,,,,感情，行為
粉紅瑪格麗特,真實的愛,,,,,,,,愛情，家庭
黃橘瑪格麗特,美麗模樣,,,,,,,,美，稱讚
小白菊,聚集的喜悅 寬容,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
萬壽菊,可愛的愛情 勇者 健康,,,,,,,,愛情，家庭，魅力，個性
金合歡,祕密的愛 友情,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情
忘都草,短暫的休息 平穩,,,,,,,,治癒，幸福，喜悅，新生活，友情
葡萄風信子,心靈相通 寬大的愛,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情
日本紫珠,聰明 人見人愛,,,,,,,,愛情，家庭，魅力，個性
莫氏蘭,優美 氣質,,,,,,,,美，稱讚
蜂香薄荷,燃燒的思念 安穩,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情
桃花,愛情 性情溫順,,,,,,,,魅力，個性，感情，行為
貝殼花,感謝 希望,,,,,,,,感情，行為
矢車菊,細緻 優美 教育,,,,,,,,美，稱讚，魅力，個性，其他
棣棠花,氣質 崇高 財運,,,,,,,,財運，勝利，魅力，個性
尤加利葉,重生 安慰,,,,,,,,治癒，幸福，喜悅，新生活，友情
亞馬遜百合,天真無邪 氣質 純愛,,,,,,,,愛情，家庭，魅力，個性
緋苞木,低調 獲得幫助 想再見到你,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
雪柳,愛嬌 可愛,,,,,,,,魅力，個性
百合,純粹 純真,,,,,,,,魅力，個性
香水百合,純潔,,,,,,,,魅力，個性
山百合,威嚴,,,,,,,,其他
紅色百合,虛榮心,,,,,,,,其他
黃色百合,開朗 虛假,,,,,,,,魅力，個性，其他
橘色百合,華麗 輕率,,,,,,,,魅力，個性，其他
飛燕草,輕快 爽朗,,,,,,,,魅力，個性
米香花,豐富的果實,,,,,,,,治癒，幸福，喜悅，新生活，友情
紫丁香,回憶 初戀 戀情初萌,,,,,,,,愛情，家庭，其他
白色紫丁香,天真無邪,,,,,,,,魅力，個性
兔尾草,感謝 相信我 跳動的心,,,,,,,,治癒，幸福，喜悅，新生活，友情，感情，行為
爆竹百合,變化 好奇心,,,,,,,,其他
陸蓮花,魅力十足,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
黃色陸蓮花,溫柔體貼,,,,,,,,治癒，幸福，喜悅，新生活，友情
紫色陸蓮花,幸福,,,,,,,,幸福，喜悅
白色陸蓮花,純潔,,,,,,,,魅力，個性
粉紅陸蓮花,無須修飾的美,,,,,,,,美，稱讚
橘色陸蓮花,秘密主義,,,,,,,,其他
紅色陸蓮花,充滿魅力,,,,,,,,魅力，個性
薰衣草,我等著你 沉默,,,,,,,,感情，行為
頭狀薰衣草,期待,,,,,,,,感情，行為
狹葉薰衣草,幸福,,,,,,,,治癒，幸福，喜悅，新生活，友情
綿羊耳,跟隨你 誘惑,,,,,,,,感情，行為，其他
百部,清廉 先見之明 謙虛,,,,,,,,魅力，個性
非洲鬱金香,沉默之戀 打開緊閉的心,,,,,,,,愛情，家庭，其他
陽光百合,溫暖的心 相信的心,,,,,,,,治癒，幸福，喜悅，新生活，友情，感情，行為
珍珠花,滿滿的思念 輕鬆自在,,,,,,,,治癒，幸福，喜悅，新生活，友情，感情，行為
龍膽,愛著悲傷的你 誠實,,,,,,,,愛情，家庭，魅力，個性
假葉樹,開朗,,,,,,,,魅力，個性
魯冰花,想像力 貪欲,,,,,,,,其他
琉璃球花薊,受傷的心 敏銳,,,,,,,,感情，行為，其他
蕾絲花,感謝 淡淡的思念,,,,,,,,感情，行為
連翹,期待 希望,,,,,,,,感情，行為
蠟梅,遠見 氣質,,,,,,,,魅力，個性
勿忘我,不要忘記我 真實的愛,,,,,,,,愛情，家庭，感情，行為
蠟花,可愛 不為人知的優點,,,,,,,,魅力，個性
地榆,變化 流逝的歲月 憂慮,,,,,,,,其他
康乃馨,純潔深沉的愛 對母親的愛,,,,,,,,愛情，家庭
粉紅康乃馨,感動,,,,,,,,感情，行為
白色康乃馨,活生生的愛情,,,,,,,,
